<Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>
# Lists of eth addresses for uTCA and related HW (PSU, etc...)

# uTCA TCDS crates in S1E01
# Crate in U26
AMC1912,0C:05:04:03:04:52
AMC19131,08:00:30:F3:01:12
AMC19132,08:00:30:F3:01:52
# uTCA crate in S1F08 U11
MCH2001,00:40:42:0B:1A:E6
AMC2001,0C:05:04:03:04:61
AMC2002,0C:05:04:03:04:62
AMC2003,0C:05:04:03:04:63
AMC2004,0C:05:04:03:04:64
AMC2005,0C:05:04:03:04:65
AMC2006,0C:05:04:03:04:66
AMC2007,08:00:30:00:23:5A
AMC2008,0C:05:04:03:04:68
AMC2009,0C:05:04:03:04:69
AMC2010,0C:05:04:03:04:70
AMC2011,0C:05:04:03:04:71
AMC2012,0C:05:04:03:04:72
AMC20131,08:00:30:F3:00:45
AMC20132,08:00:30:F3:00:05
# uTCA crate in S1F08 U27
MCH2101,0C:05:04:03:04:80
AMC2101,0C:05:04:03:04:81
AMC2102,0C:05:04:03:04:82
AMC2103,0C:05:04:03:04:83
AMC2104,0C:05:04:03:04:84
AMC2105,0C:05:04:03:04:85
AMC2106,0C:05:04:03:04:86
AMC2107,0C:05:04:03:04:87
AMC2108,0C:05:04:03:04:88
AMC2109,0C:05:04:03:04:89
AMC2110,0C:05:04:03:04:90
AMC2111,0C:05:04:03:04:91
AMC2112,0C:05:04:03:04:92
AMC21131,0C:05:04:03:04:93
AMC21132,0C:05:04:03:04:94
# BRIL Medipix chassis in S1F08 U45 (3U chassis)
# 0C:05:04:03:09:4
MPX01,70:B3:D5:EF:97:BF
MPX02,70:B3:D5:EF:97:FF
MPX03,70:B3:D5:B5:1F:C4
MPX04,0C:05:04:03:09:44
MPX05,70:B3:D5:B5:1F:C2
MPX06,0C:05:04:03:09:46
MPX07,0C:05:04:03:09:47
MPX08,70:B3:D5:76:1A:D1
MPX09,0C:05:04:03:09:49
MPX10,70:B3:D5:76:1B:4B
MPX11,70:B3:D5:76:1A:45
MPX12,0C:05:04:03:09:4C
MPX13,70:B3:D5:EF:95:E0
MPX14,70:B3:D5:EF:97:E4


# uTCA crate in S1E04 U32
# First MAC 10/100Mb (vadatech MCH/eth0) is 00:13:3A:02:8B:74
# Second MAC 1Gb (vadatech MCH/eth1) is 00:13:3A:02:8B:75
MCH0701,00:40:42:0B:16:FD
AMC0701,08:00:30:F3:03:B1
AMC0702,08:00:30:F3:03:A1
AMC0703,08:00:30:F3:03:9C
AMC0704,08:00:30:F3:03:A0
AMC0705,08:00:30:F3:03:A3
AMC0706,08:00:30:F3:03:9D
AMC0707,0C:05:04:03:02:C7
AMC0708,0C:05:04:03:02:C8
AMC0709,0C:05:04:03:02:C9
AMC0710,0C:05:04:03:02:D0
AMC0711,0C:05:04:03:02:D1
AMC0712,0C:05:04:03:02:D2
AMC07131,08:00:30:F3:01:F2
AMC07132,08:00:30:F3:01:B2
AMCUC0707,0C:05:04:03:02:CA
AMCUC0708,0C:05:04:03:02:CB
AMCUC0709,0C:05:04:03:02:CC
AMCUC0710,0C:05:04:03:02:CD
AMCUC0711,0C:05:04:03:02:CE
AMCUC0712,0C:05:04:03:02:CF
# uTCA crate in S1E04 U07
# First MAC 10/100Mb (vadatech MCH/eth0) is 00:13:3A:07:18:B6
# Second MAC 1Gb (vadatech MCH/eth1) is 00:13:3A:07:18:B7
MCH6901,00:40:42:0B:1D:E3
AMC6901,08:00:30:F3:03:C2
AMC6902,08:00:30:F3:03:9B
AMC6903,08:00:30:F3:03:A6
AMC6904,08:00:30:F3:03:D0
AMC6905,08:00:30:F3:03:A8
AMC6906,08:00:30:F3:03:99
AMC6907,0C:05:04:03:07:B7
AMC6908,0C:05:04:03:07:B8
AMC6909,0C:05:04:03:07:B9
AMC6910,0C:05:04:03:07:BA
AMC6911,0C:05:04:03:07:BB
AMC6912,0C:05:04:03:07:BC
AMC69131,08:00:30:F3:01:ED
AMC69132,08:00:30:F3:01:AD
AMCUC6907,0C:05:04:03:07:C0
AMCUC6908,0C:05:04:03:07:C1
AMCUC6909,0C:05:04:03:07:C2
AMCUC6910,0C:05:04:03:07:C3
AMCUC6911,0C:05:04:03:07:C4
AMCUC6912,0C:05:04:03:07:C5

# uTCA crate in S1E05 U08
MCH0301,00:40:42:0B:0A:12
AMC0301,0C:05:04:03:02:41
AMC0302,0C:05:04:03:02:42
AMC0303,0C:05:04:03:02:43
AMC0304,0C:05:04:03:02:44
AMC0305,0C:05:04:03:02:45
AMC0306,0C:05:04:03:02:46
AMC0307,0C:05:04:03:02:47
AMC0308,0C:05:04:03:02:48
AMC0309,0C:05:04:03:02:49
AMC0310,0C:05:04:03:02:50
AMC0311,0C:05:04:03:02:51
AMC0312,0C:05:04:03:02:52
AMC03131,08:00:30:F3:00:42
AMC03132,08:00:30:F3:00:02

# uTCA crate in S2D11 U43
# 0C:05:04:03:04:A
MCH2201,00:40:42:0B:1C:4F
AMC2201,08:00:30:F3:03:B9
AMC2202,0C:05:04:03:04:A2
AMC2203,08:00:30:F3:03:BD
AMC2204,0C:05:04:03:04:A4
#AMC2204,08:00:30:F3:03:B2
AMC2205,0C:05:04:03:04:A5
#AMC2205,08:00:30:F3:03:AA
AMC2206,08:00:30:F3:03:BB
AMC2207,0C:05:04:03:04:A7
#AMC2207,08:00:30:F3:03:B4
AMC2208,0C:05:04:03:04:A8
#AMC2208,08:00:30:F3:03:98
AMC2209,0C:05:04:03:04:A9
AMC2210,0C:05:04:03:04:B0
#AMC2210,08:00:30:F3:03:AD
AMC2211,08:00:30:F3:03:C8
AMC2212,0C:05:04:03:04:B2
AMC22131,08:00:30:F3:01:46
AMC22132,08:00:30:F3:01:06

# uTCA crate in S2D13 U43
# 0C:05:04:03:04:C
MCH2301,00:40:42:0B:1C:39
AMC2301,0C:05:04:03:04:C1
#AMC2302,0C:05:04:03:04:C2
AMC2302,08:00:30:F3:03:AE
#AMC2303,0C:05:04:03:04:C3
AMC2303,08:00:30:F3:03:B8
#AMC2304,0C:05:04:03:04:C4
AMC2304,08:00:30:F3:03:BA
AMC2305,0C:05:04:03:04:C5
AMC2306,0C:05:04:03:04:C6
#AMC2306,08:00:30:F3:03:B7
AMC2307,0C:05:04:03:04:C7
AMC2308,0C:05:04:03:04:C8
AMC2309,0C:05:04:03:04:C9
AMC2310,0C:05:04:03:04:D0
AMC2311,0C:05:04:03:04:D1
AMC2312,0C:05:04:03:04:D2
AMC23131,08:00:30:F3:01:4C
AMC23132,08:00:30:F3:01:0C

# uTCA crate in S2D11 U29
MCH0601,00:40:42:0B:0F:EF
AMC0601,08:00:30:F3:03:B0
AMC0602,08:00:30:F3:03:BC
AMC0603,08:00:30:F3:03:C5
AMC0604,08:00:30:F3:03:C7
AMC0605,08:00:30:F3:03:D7
AMC0606,08:00:30:F3:03:CA
AMC0607,08:00:30:F3:03:CB
AMC0608,08:00:30:F3:03:AF
AMC0609,08:00:30:F3:03:CC
