# Format: <Serial>,<OnboardMAC1>,<OnboardMAC2>,<IPMIMAC>


#### Rack C2A01 ####
MC17120282-2,a4:bf:01:27:ae:94,,a4:bf:01:27:ae:96
MC17120282-3,a4:bf:01:28:bc:ec,,a4:bf:01:28:bc:ee
MC17120282-4,a4:bf:01:2d:23:9e,,a4:bf:01:2d:23:a0
MC17120286-1,a4:bf:01:28:c2:55,,a4:bf:01:28:c2:57
MC17120286-2,a4:bf:01:2d:22:13,,a4:bf:01:2d:22:15
MC17120286-3,a4:bf:01:2d:1b:48,,a4:bf:01:2d:1b:4a
MC17120286-4,a4:bf:01:2d:21:eb,,a4:bf:01:2d:21:ed
MC17120288-1,a4:bf:01:2d:1a:76,,a4:bf:01:2d:1a:78
MC17120288-2,a4:bf:01:2d:22:45,,a4:bf:01:2d:22:47
MC17120288-3,a4:bf:01:28:9e:0e,,a4:bf:01:28:9e:10
MC17120288-4,a4:bf:01:28:96:e8,,a4:bf:01:28:96:ea
MC17120289-1,a4:bf:01:28:97:1f,,a4:bf:01:28:97:21
MC17120289-2,a4:bf:01:28:98:69,,a4:bf:01:28:98:6b
MC17120289-3,a4:bf:01:28:c2:5a,,a4:bf:01:28:c2:5c
MC17120289-4,a4:bf:01:28:97:56,,a4:bf:01:28:97:58
MC17120291-1,a4:bf:01:28:96:16,,a4:bf:01:28:96:18
MC17120291-2,a4:bf:01:28:93:00,,a4:bf:01:28:93:02
MC17120291-3,a4:bf:01:28:96:c0,,a4:bf:01:28:96:c2
MC17120291-4,a4:bf:01:28:96:5c,,a4:bf:01:28:96:5e
MC17120294-1,a4:bf:01:2d:1f:f2,,a4:bf:01:2d:1f:f4
MC17120294-2,a4:bf:01:28:be:cc,,a4:bf:01:28:be:ce
MC17120294-3,a4:bf:01:2d:22:c2,,a4:bf:01:2d:22:c4
MC17120294-4,a4:bf:01:2d:20:f6,,a4:bf:01:2d:20:f8
MC17120297-1,a4:bf:01:27:b3:85,,a4:bf:01:27:b3:87
MC17120297-2,a4:bf:01:27:b3:d0,,a4:bf:01:27:b3:d2
MC17120297-3,a4:bf:01:27:77:a6,,a4:bf:01:27:77:a8
MC17120297-4,a4:bf:01:27:ae:3f,,a4:bf:01:27:ae:41
MC17120298-1,a4:bf:01:28:c2:0a,,a4:bf:01:28:c2:0c
MC17120298-2,a4:bf:01:2d:20:9c,,a4:bf:01:2d:20:9e
MC17120298-3,a4:bf:01:28:c5:5c,,a4:bf:01:28:c5:5e
MC17120298-4,a4:bf:01:28:c0:cf,,a4:bf:01:28:c0:d1
MC17120301-1,a4:bf:01:29:5d:48,,a4:bf:01:29:5d:4a
MC17120301-2,a4:bf:01:2d:21:aa,,a4:bf:01:2d:21:ac
MC17120301-3,a4:bf:01:2d:22:86,,a4:bf:01:2d:22:88
MC17120301-4,a4:bf:01:28:bf:c6,,a4:bf:01:28:bf:c8
MC17120302-1,a4:bf:01:28:94:68,,a4:bf:01:28:94:6a
MC17120302-2,a4:bf:01:28:94:36,,a4:bf:01:28:94:38
MC17120302-3,a4:bf:01:28:c2:32,,a4:bf:01:28:c2:34
MC17120302-4,a4:bf:01:28:93:4b,,a4:bf:01:28:93:4d
MC17120309-1,a4:bf:01:2d:1a:cb,,a4:bf:01:2d:1a:cd
MC17120309-2,a4:bf:01:28:eb:49,,a4:bf:01:28:eb:4b
MC17120309-3,a4:bf:01:28:96:48,,a4:bf:01:28:96:4a
MC17120309-4,a4:bf:01:28:9d:28,,a4:bf:01:28:9d:2a
MC17120312-1,a4:bf:01:27:6d:49,,a4:bf:01:27:6d:4b
MC17120312-2,a4:bf:01:27:74:b8,,a4:bf:01:27:74:ba
MC17120312-3,a4:bf:01:27:77:6a,,a4:bf:01:27:77:6c
MC17120312-4,a4:bf:01:27:b0:60,,a4:bf:01:27:b0:62

#### Rack C2A03 ####
MC17120218-1,a4:bf:01:2d:22:27,,a4:bf:01:2d:22:29
MC17120218-2,a4:bf:01:2d:21:c3,,a4:bf:01:2d:21:c5
MC17120218-3,a4:bf:01:2d:1f:9d,,a4:bf:01:2d:1f:9f
MC17120218-4,a4:bf:01:2d:21:50,,a4:bf:01:2d:21:52
MC17120224-1,a4:bf:01:28:98:2d,,a4:bf:01:28:98:2f
MC17120224-2,a4:bf:01:28:90:85,,a4:bf:01:28:90:87
MC17120224-3,a4:bf:01:28:99:31,,a4:bf:01:28:99:33
MC17120224-4,a4:bf:01:28:98:f0,,a4:bf:01:28:98:f2
MC17120231-1,a4:bf:01:28:97:4c,,a4:bf:01:28:97:4e
MC17120231-2,a4:bf:01:28:95:c1,,a4:bf:01:28:95:c3
MC17120231-3,a4:bf:01:28:ed:79,,a4:bf:01:28:ed:7b
MC17120231-4,a4:bf:01:28:98:19,,a4:bf:01:28:98:1b
MC17120233-1,a4:bf:01:28:c3:63,,a4:bf:01:28:c3:65
MC17120233-2,a4:bf:01:28:96:6b,,a4:bf:01:28:96:6d
MC17120233-3,a4:bf:01:28:c2:4b,,a4:bf:01:28:c2:4d
MC17120233-4,a4:bf:01:28:97:1a,,a4:bf:01:28:97:1c
MC17120234-1,a4:bf:01:2d:21:64,,a4:bf:01:2d:21:66
MC17120234-2,a4:bf:01:28:97:e7,,a4:bf:01:28:97:e9
MC17120234-3,a4:bf:01:27:6c:ef,,a4:bf:01:27:6c:f1
MC17120234-4,a4:bf:01:2d:22:cc,,a4:bf:01:2d:22:ce
MC17120236-1,a4:bf:01:28:c1:97,,a4:bf:01:28:c1:99
